Repository Name,Image URL,Stars,Contributors,Forks,Repo Commits,Language,SHA,Downloadable URL,Description,First Repo Commit Date,View Commits,View Contributors,First View Commit Date,Difference Between I View Commit and I Repo Commit
CMUChimpsLab/Peekaboo,https://github.com/CMUChimpsLab/Peekaboo/blob/main/doc/architecture-overview.jpeg,6,2,1,14,JavaScript,62d31d820fde886e7a1701de58f0478e50cbb52d,https://github.com/CMUChimpsLab/Peekaboo/blob/main/doc/architecture-overview.jpeg?raw=true,The open source code for Peekaboo (IEEE S&P 2022),2022-04-09 20:18:43,1.0,1.0,2022-05-19 05:52:03,39.0
greatfarmer/fifarm,https://github.com/greatfarmer/fifarm/blob/main/.github/architecture.png,2,2,0,104,HTML,10d44c03912a2351700cc7c574a7a74ecf7ee770,https://github.com/greatfarmer/fifarm/blob/main/.github/architecture.png?raw=true,EA SPORTS FUT DATABASE,2019-08-18 06:28:08,2.0,1.0,2020-02-24 14:59:24,190.0
andersonkmi/credit-card-bindb-service-aws,https://github.com/andersonkmi/credit-card-bindb-service-aws/blob/master/img/architecture.jpg,3,1,0,106,,da785a047a82ea896711019912ae63fb07e59a74,https://github.com/andersonkmi/credit-card-bindb-service-aws/blob/master/img/architecture.jpg?raw=true,Reference project using AWS Lambda and Scala for CSV processing and loading into DynamoDB,2018-02-18 19:44:01,,,,
lovasoa/SuperLogger,https://github.com/lovasoa/SuperLogger/blob/master/images/architecture-schema.png,2,2,1,29,Java,c16c2f64794991bfa5e863e0c3791f6ca45a8f1f,https://github.com/lovasoa/SuperLogger/blob/master/images/architecture-schema.png?raw=true,"Log system information using logstash, store the information on ElasticSearch, and visualize it using Kibana.",2017-04-21 13:08:04,1.0,1.0,2017-04-21 20:52:31,0.0
qunarcorp/m_adr_qapm_open_source,https://github.com/qunarcorp/m_adr_qapm_open_source/blob/master/image/qapm-Architecture.png,10,4,2,122,Java,8df4ad3ed0718a0b355cccf22baff844f9d59573,https://github.com/qunarcorp/m_adr_qapm_open_source/blob/master/image/qapm-Architecture.png?raw=true,,2014-05-07 02:18:12,1.0,1.0,2019-03-08 08:38:45,1766.0
kzh/noob,https://github.com/kzh/noob/blob/8e83d650de4d94855582c615944ef166819081f9/images/Noob%20Architecture.svg,13,1,0,77,Go,99849238f71b39b381185dcfabd7767bd7c25662,https://github.com/kzh/noob/blob/8e83d650de4d94855582c615944ef166819081f9/images/Noob%20Architecture.svg?raw=true,(wip) leetcode clone on kubernetes,2018-05-27 00:16:54,1.0,1.0,2018-10-05 23:05:28,131.0
SocialGouv/archifiltre-docs,https://github.com/SocialGouv/archifiltre-docs/blob/dev/docs/architecture.png,39,15,8,1827,TypeScript,d226d469f1d9174a6864e24643d52c9672222784,https://github.com/SocialGouv/archifiltre-docs/blob/dev/docs/architecture.png?raw=true,Visualisez et améliorez vos arborescences de fichiers !,2018-03-01 10:44:40,1.0,1.0,2020-11-04 16:27:09,979.0
OpenIPC/motors,https://github.com/OpenIPC/motors/blob/master/api/architecture.png,15,10,11,59,C,4c7dc45e5e877f38c076343f361159844374920a,https://github.com/OpenIPC/motors/blob/master/api/architecture.png?raw=true,Various code to manage motor hardware,2021-08-11 12:50:17,1.0,1.0,2023-02-03 21:08:33,541.0
NLP4L/attic-nlp4l,https://github.com/NLP4L/attic-nlp4l/blob/master/nlp4l-architecture-20150619.png,66,3,5,198,Scala,4d05ce0aaca04b6e44a4925e30d2395378217eed,https://github.com/NLP4L/attic-nlp4l/blob/master/nlp4l-architecture-20150619.png?raw=true,(deprecated) Please use new nlp4l instead.,2015-03-30 03:47:39,1.0,1.0,2015-06-19 03:37:55,80.0
SafeBreach-Labs/hAFL2,https://github.com/SafeBreach-Labs/hAFL2/blob/main/images/Architecture.png,127,1,16,51,Python,f607d2b4973f1b2ca689dbe8e467dbd7dbac0881,https://github.com/SafeBreach-Labs/hAFL2/blob/main/images/Architecture.png?raw=true,A kAFL based hypervisor fuzzer which fully supports nested VMs,2021-07-03 09:36:05,1.0,1.0,2021-07-16 18:22:31,13.0
